metric floor invalid delta
runtime_qc.invalid 1642906 1819998 177092
runtime_qc.above_live_top 1642906 1642906 0
runtime_qc.n2_residual_used 4388454 4388454 0
runtime_qc.n2_residual_negative 177092 177092 0
sender_checksum.valid_i 4388454 4211362 -177092
sender_checksum.invalid_i 1642906 1819998 177092
sender_checksum.sum_denni 1.4047002696321837e+20 1.4047002550182755e+20 -1461390819328.0
sender_checksum.sum_tni 2713163514.8689423 2513822727.488632 -199340787.38031006
sender_checksum.sum_ui -3862041817.277378 -3530352653.738254 331689163.539124
sender_checksum.sum_vi 3474320780.3186073 2927082208.4676085 -547238571.8509989
