case	stream	size_bytes	mtime	path
waccmx_fism2_flare_f09_20241003_x9_r5_5min	h1	402573732	2026-05-25T00:24:32	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_flare_f09_20241003_x9_r5_5min/run/waccmx_fism2_flare_f09_20241003_x9_r5_5min.cam.h1.2024-10-04-00000.nc
waccmx_fism2_flare_f09_20241003_x9_r5_5min	h2	1841470416	2026-05-25T00:24:32	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_flare_f09_20241003_x9_r5_5min/run/waccmx_fism2_flare_f09_20241003_x9_r5_5min.cam.h2.2024-10-03-00000.nc
waccmx_fism2_flare_f09_20241003_x9_r5_5min	h3	1784406204	2026-05-25T00:24:32	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_flare_f09_20241003_x9_r5_5min/run/waccmx_fism2_flare_f09_20241003_x9_r5_5min.cam.h3.2024-10-03-00000.nc
waccmx_fism2_flare_f09_20241003_x9_r5_5min	h4	690115536	2026-05-25T00:24:32	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_flare_f09_20241003_x9_r5_5min/run/waccmx_fism2_flare_f09_20241003_x9_r5_5min.cam.h4.2024-10-03-00000.nc
waccmx_fism2_flare_f09_20241003_x9_r5_5min	h6	3197264	2026-05-25T00:24:32	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_flare_f09_20241003_x9_r5_5min/run/waccmx_fism2_flare_f09_20241003_x9_r5_5min.cam.h6.2024-10-03-00000.nc
waccmx_fism2_noflare_f09_20241003_x9_r5_5min	h1	402573732	2026-05-25T00:24:27	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_noflare_f09_20241003_x9_r5_5min/run/waccmx_fism2_noflare_f09_20241003_x9_r5_5min.cam.h1.2024-10-04-00000.nc
waccmx_fism2_noflare_f09_20241003_x9_r5_5min	h2	1841470416	2026-05-25T00:24:27	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_noflare_f09_20241003_x9_r5_5min/run/waccmx_fism2_noflare_f09_20241003_x9_r5_5min.cam.h2.2024-10-03-00000.nc
waccmx_fism2_noflare_f09_20241003_x9_r5_5min	h3	1784406204	2026-05-25T00:24:27	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_noflare_f09_20241003_x9_r5_5min/run/waccmx_fism2_noflare_f09_20241003_x9_r5_5min.cam.h3.2024-10-03-00000.nc
waccmx_fism2_noflare_f09_20241003_x9_r5_5min	h4	690115536	2026-05-25T00:24:27	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_noflare_f09_20241003_x9_r5_5min/run/waccmx_fism2_noflare_f09_20241003_x9_r5_5min.cam.h4.2024-10-03-00000.nc
waccmx_fism2_noflare_f09_20241003_x9_r5_5min	h6	3197264	2026-05-25T00:24:27	/home/jiaoy_group/jiaoy/data/WACCMX/output/cesm_2.2.0_result/intel/waccmx_fism2_noflare_f09_20241003_x9_r5_5min/run/waccmx_fism2_noflare_f09_20241003_x9_r5_5min.cam.h6.2024-10-03-00000.nc
